SPEED,RPM,FUEL
51.0,1141.75,79.6078431372549
51.0,1162.25,76.47058823529412
50.0,1149.0,76.47058823529412
47.0,1111.0,76.47058823529412
43.0,1004.25,76.47058823529412
37.0,905.5,76.47058823529412
27.0,963.75,76.47058823529412
18.0,767.5,76.47058823529412
12.0,783.25,76.47058823529412
8.0,704.75,76.47058823529412
11.0,1378.5,77.6470588235294
17.0,1839.0,77.6470588235294
22.0,1703.25,77.6470588235294
29.0,2080.25,77.6470588235294
37.0,2069.5,77.6470588235294
42.0,1597.75,77.6470588235294
46.0,1694.25,77.6470588235294
49.0,1790.25,77.6470588235294
52.0,1442.75,77.6470588235294
54.0,1299.5,64.31372549019608
53.0,1176.0,64.31372549019608
53.0,1176.25,64.31372549019608
52.0,1277.25,64.31372549019608
52.0,1301.0,64.31372549019608
52.0,1264.0,64.31372549019608
52.0,1187.5,64.31372549019608
51.0,1268.0,64.31372549019608
51.0,1155.25,64.31372549019608
50.0,1188.0,74.50980392156863
50.0,1161.0,74.50980392156863
49.0,1198.0,74.50980392156863
49.0,1163.75,74.50980392156863
49.0,1131.5,74.50980392156863
48.0,1117.5,74.50980392156863
47.0,1100.0,74.50980392156863
47.0,1203.75,74.50980392156863
47.0,1208.5,74.50980392156863
47.0,1216.5,74.50980392156863
47.0,1003.0,69.80392156862744
47.0,1192.5,69.80392156862744
46.0,1117.75,69.80392156862744
46.0,1073.75,69.80392156862744
46.0,1065.75,69.80392156862744
45.0,1044.75,69.80392156862744
45.0,1165.0,69.80392156862744
45.0,1179.25,69.80392156862744
45.0,1170.25,69.80392156862744
45.0,1153.5,73.72549019607843
45.0,1059.5,73.72549019607843
44.0,1064.25,73.72549019607843
43.0,1059.0,73.72549019607843
41.0,970.0,73.72549019607843
38.0,919.25,73.72549019607843
31.0,1071.5,73.72549019607843
22.0,817.5,73.72549019607843
14.0,840.5,73.72549019607843
14.0,1554.75,74.11764705882354
20.0,1910.0,74.11764705882354
25.0,1983.0,74.11764705882354
30.0,1999.5,74.11764705882354
33.0,1896.25,74.11764705882354
34.0,1495.25,74.11764705882354
